gene	repli-seq
ARHGAP11A	66.7948
ARHGAP12	69.4897
ARHGAP15	72.2672
ARHGAP17	75.317
ARHGAP18	76.1038
ARHGAP19	76.4978
ARHGAP21	58.7213
ARHGAP22	75.8419
ARHGAP23	78.7094
ARHGAP24	54.9798
ARHGAP25	75.6955
ARHGAP26	75.4876
ARHGAP27	79.0669
ARHGAP29	43.0856
ARHGAP30	80.5648
ARHGAP31	78.0138
ARHGAP33	79.1139
ARHGAP4	58.5796
ARHGAP44	41.8282
ARHGAP5	51.0663
ARHGAP6	39.925
ARHGAP8	57.4474
ARHGAP9	80.8753
ARHGDIA	82.1895
ARHGDIB	61.1223
ARHGDIG	79.9926
ARHGEF1	77.9446
ARHGEF10L	55.4204
ARHGEF12	63.9841
ARHGEF17	80.7889
ARHGEF18	75.0294
ARHGEF19	76.3655
ARHGEF2	76.7916
ARHGEF25	79.4748
ARHGEF26	30.13
ARHGEF28	57.9392
ARHGEF3	67.2057
ARHGEF39	79.3243
ARHGEF40	71.4536
ARHGEF6	45.5158
ARHGEF7	62.6842
ARHGEF9	26.9539
ARID1A	79.7622
ARID1B	78.0561
ARID2	61.8629
ARID3A	77.5659
ARID3B	79.7825
ARID4A	55.2377
ARID4B	78.1423
ARID5A	79.8987
ARID5B	71.229
ARIH1	72.1229
ARIH2	76.4813
ARL1	60.6642
ARL10	70.7701
ARL11	68.756
ARL13B	30.4664
ARL14EP	38.7615
ARL15	42.5297
ARL16	79.5065
ARL2	79.8111
ARL2BP	80.7522
ARL3	77.9989
ARL4C	42.8692
ARL4D	73.0909
ARL5A	71.3326
ARL5B	32.0471
ARL6	49.9519
ARL6IP1	71.3731
ARL6IP4	80.6726
ARL6IP5	62.366
ARL6IP6	50.9454
ARL8A	68.6319
ARL8B	76.0221
ARMC1	71.0999
ARMC10	69.9148
ARMC12	76.9038
ARMC2	61.3424
ARMC5	66.3898
ARMC6	78.625
ARMC7	80.9034
ARMC8	65.7896
ARMC9	78.6114
ARMCX1	36.7053
ARMCX2	34.4494
ARMCX3	35.4064
ARMCX5	24.7884
ARMCX6	35.5397
ARNT	81.07
ARNTL	56.8014
ARNTL2	79.2174
ARPC1A	72.3269
ARPC1B	73.04
ARPC2	74.1075
ARPC3	79.8333
ARPC4	77.5942
ARPC4-TTLL3	77.5942
ARPC5	78.227
ARPC5L	78.3528
ARPP19	78.7291
ARPP21	16.6043
ARRB1	77.7539
ARRB2	79.7534
ARRDC1	74.6298
ARRDC2	78.6265
ARRDC3	64.3442
ARSA	81.0959
ARSB	70.132
ARSG	76.9472
ARSJ	66.6628
ARSK	77.8485
ART3	64.1945
ARV1	49.8554
ARVCF	75.2988
ARX	33.3909
AS3MT	79.1877
ASAH1	40.7897
ASAH2B	70.6956
ASAP1	71.7776
ASAP2	64.9985
ASB1	62.0182
ASB13	75.9955
ASB2	68.7764
ASB6	71.8408
ASB7	57.7932
ASB8	72.1522
ASB9	41.0103
ASCC1	78.2687
ASCC2	76.5939
ASCC3	37.7542
ASCL1	59.1984
ASCL2	52.1737
ASF1A	62.5377
ASF1B	79.0499
ASH1L	78.416
ASH2L	78.315
ASIC1	77.9268
ASIC4	65.255
ASL	70.4051
ASMTL	76.2581
ASNA1	79.2594
ASNS	51.4295
ASNSD1	58.8602
ASPA	73.4019
